Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,SAR,Phonebook,Call records,Messaging,Games,Java,Build,Dual,128GB 6GB RAM,Charging,Models,GPRS,EDGE,SAR EU,Features_1,Keyboard,Alert types,Browser,Languages,Clock,Alarm,5G bands,Camera,Loudspeaker_1,Audio quality,Triple,Dual_1,Battery life,Performance,Display,64GB 6GB RAM,64GB 4GB RAM,128GB 4GB RAM,Music play,32GB 4GB RAM
google,Google Pixel 4a,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Always-on display HDR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 2.1,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/75 Mbps","2020, August 03","Available. Released 2020, August 20",144 x 69.4 x 8.2 mm (5.67 x 2.73 x 0.32 in),143 g (5.04 oz),Nano-SIM and/or eSIM,,"OLED capacitive touchscreen, 16M colors","5.81 inches, 83.2 cm2 (~83.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~443 ppi density)",Corning Gorilla Glass 3,"Android 10, upgradable to Android 11",Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,No,128GB 6GB RAM,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","LED flash, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps; gyro-EIS","8 MP, f/2.0, 24mm (wide), 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, QZSS",Yes,,Unspecified,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3140 mAh, non-removable",Just Black,$ 349.99,,,,,,,,,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,$ 349.99,Fast charging 18W USB Power Delivery 2.0,G025J,,,,Auto-HDR,,,,,,,,,,,,,Endurance rating 76h,"AnTuTu: 268714 (v8) GeekBench: 6426 (v4.4), 1626 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)",Contrast ratio: Infinite (nominal),,,,,
google,Google Pixel 4 XL,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, October 15","Available. Released 2019, October 22",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193 g (6.81 oz),Nano-SIM card & eSIM,UFS 2.1,"P-OLED capacitive touchscreen, 16M colors","6.3 inches, 98.0 cm2 (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)",Corning Gorilla Glass 5,"Android 10, upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"64GB 6GB RAM, 128GB 6GB RAM",,"Dual-LED flash, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Po 3700 mAh, non-removable","Clearly White, Just Black, Oh So Orange",$ 633.04 / € 719.99 / £ 649.00,,,,,,,,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom",$ 647.98,Fast charging 18W USB Power Delivery 2.0 QI wireless charging,"G020P, G020, GA01181-US, GA01182-US, GA01180-US",,,,Auto-HDR,,,,,,,,Photo / Video,Voice 80dB / Noise 78dB / Ring 88dB,Noise -93.9 / Crosstalk -94.1,,"8 MP, f/2.0, 22mm (wide), 1.22µm, no AF TOF 3D, (depth/biometrics sensor)",Endurance rating 73h,"AnTuTu: 323305 (v7), 403267 (v8)GeekBench: 10171 (v4.4), 2267 (v5.1)GFXBench: 21fps (ES 3.1 onscreen)",,$ 633.04,,,,
google,Google Pixel 4,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, October 15","Available. Released 2019, October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),Nano-SIM card & eSIM,UFS 2.1,"P-OLED capacitive touchscreen, 16M colors","5.7 inches, 80.7 cm2 (~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)",Corning Gorilla Glass 5,"Android 10, upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"64GB 6GB RAM, 128GB 6GB RAM",,"Dual-LED flash, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Po 2800 mAh, non-removable","Clearly White, Just Black, Oh So Orange",$ 529.99 / € 584.22 / £ 459.95,,,,,,,,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom",$ 642.99,Fast charging 18W USB Power Delivery 2.0 QI wireless charging,"G020M, G020I, GA01188-US, GA01187-US, GA01189-US, GA01191-US, GA01189-US",,,,Auto-HDR,,,,,,,,Photo / Video,Voice 79dB / Noise 71dB / Ring 83dB,Noise -71.5dB / Crosstalk -69.8dB,,"8 MP, f/2.0, 22mm (wide), 1.22µm, no AF TOF 3D, (depth/biometrics sensor)",Endurance rating 62h,AnTuTu: 395351 (v8) GeekBench: 2542 (v5.1) GFXBench: 31fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),$ 529.99,,,,
google,Google Pixel 3a XL,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","2019, May 07","Available. Released 2019, May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),Nano-SIM and/or eSIM,eMMC 5.1,"OLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Asahi Dragontrail Glass,"Android 9.0 (Pie), upgradable to Android 11",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",Yes,,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3700 mAh, non-removable","Just Black, Clearly White, Purple-ish","$ 275.99 / € 379.99 / £ 349.00 / ₹ 1,499",,,,,,,,,"Glass front (Asahi Dragontrail), plastic back, plastic frame",,,Fast charging 18W USB Power Delivery 2.0,"G020C, G020G, G020F",,,,HDR,,,,,,,,,Voice 79dB / Noise 77dB / Ring 91dB,Noise -90.8dB / Crosstalk -94.8dB,,,Endurance rating 98h,"AnTuTu: 159110 (v7), 176612 (v8) GeekBench: 5176 (v4.4), 1307 (v5.1) GFXBench: 11fps (ES 3.1 onscreen)",Contrast ratio: infinite,,$ 275.99,,,
google,Google Pixel 3a,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","2019, May 07","Available. Released 2019, May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),Nano-SIM and/or eSIM,eMMC 5.1,"OLED capacitive touchscreen, 16M colors","5.6 inches, 79.6 cm2 (~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)",Asahi Dragontrail Glass,"Android 9.0 (Pie), upgradable to Android 11",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",Yes,,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3000 mAh, non-removable","Just Black, Clearly White, Purple-ish",$ 339.95 / € 269.99 / £ 279.00,,,,,,,,,"Glass front (Asahi Dragontrail), plastic back, plastic frame",,,Fast charging 18W USB Power Delivery 2.0,"G020A, G020E, G020B",,,,HDR,,,,,,,,,,,,,,,,,$ 339.95,,,
google,Google Pixel 3 XL,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/75 Mbps","2018, October 09","Available. Released 2018, October 18",158 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),184 g (6.49 oz),Nano-SIM card & eSIM,UFS 2.1,"P-OLED capacitive touchscreen, 16M colors","6.3 inches, 100.3 cm2 (~82.8% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~523 ppi density)",Corning Gorilla Glass 5,"Android 9.0 (Pie), upgradable to Android 11",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3430 mAh, non-removable","Clearly White, Just Black, Not Pink","$ 329.99 / € 499.00 / £ 338.95 / ₹ 57,989",,,,,,,,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","8 MP, f/1.8, 28mm (wide), PDAF 8 MP, f/2.2, 19mm (ultrawide), no AF",,Fast charging 18W USB Power Delivery 2.0 QI wireless charging,,,,,Auto-HDR,,,,,,,,,,,,,,"AnTuTu: 258244 (v7), 341814 (v8)GeekBench: 8088 (v4.4), 2092 (v5.1)GFXBench: 12fps (ES 3.1 onscreen)",,,$ 329.99,$ 449.97,,
google,Google Pixel 3,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/75 Mbps","2018, October 09","Available. Released 2018, October 18",145.6 x 68.2 x 7.9 mm (5.73 x 2.69 x 0.31 in),148 g (5.22 oz),Nano-SIM card & eSIM,UFS 2.1,"P-OLED capacitive touchscreen, 16M colors","5.5 inches, 76.7 cm2 (~77.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~443 ppi density)",Corning Gorilla Glass 5,"Android 9.0 (Pie), upgradable to Android 11",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 2915 mAh, non-removable","Clearly White, Just Black, Not Pink","$ 247.49 / € 477.00 / £ 328.62 / ₹ 62,999",,,,,,,,,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","8 MP, f/1.8, 28mm (wide), PDAF 8 MP, f/2.2, 19mm (ultrawide), no AF",,Fast charging 18W USB Power Delivery 2.0 QI wireless charging,,,,,Auto-HDR,,,,,,,,Photo / Video,Voice 77dB / Noise 71dB / Ring 81dB,Noise -71.7dB / Crosstalk -70.1dB,,,Endurance rating 69h,AnTuTu: 285044 (v7)GeekBench: 8337 (v4.4)GFXBench: 33fps (ES 3.1 onscreen),"Contrast ratio: Infinite (nominal), 4.350 (sunlight)",,$ 247.49,$ 349.99,,
google,Google Pixel 2,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 800/75 Mbps","2017, October 04","Available. Released 2017, October 17",145.7 x 69.7 x 7.8 mm (5.74 x 2.74 x 0.31 in),143 g (5.04 oz),Nano-SIM card & eSIM,UFS 2.1,"AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 5,"Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 27mm (wide), 1/3.2"", 1.4µm",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 2700 mAh, non-removable","Kinda Blue, Just Black, Clearly White",$ 189.99 / € 269.00 / £ 244.99,,,,,,,,,"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",,,Fast charging (capped at 10.5W) USB Power Delivery 2.0,,,,,HDR,,,,,,,,Photo / Video,Voice 70dB / Noise 77dB / Ring 81dB,Noise -93.3dB / Crosstalk -66.2dB,,,Endurance rating 75h,GeekBench: 6437 (v4.4)GFXBench: 26fps (ES 3.1 onscreen),"Contrast ratio: Infinite (nominal), 4.023 (sunlight)",,$ 299.99,$ 349.95,,
google,Google Pixel 2 XL,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 800/75 Mbps","2017, October 04","Available. Released 2017, October 17",157.9 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),175 g (6.17 oz),Nano-SIM card & eSIM,UFS 2.1,"P-OLED capacitive touchscreen, 16M colors","6.0 inches, 92.6 cm2 (~76.4% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)",Corning Gorilla Glass 5,"Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 25mm (wide), 1/3.2"", 1.4µm",1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",Yes,,No,"3.1, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 3520 mAh, non-removable","Just Black, Black & White",$ 254.99 / € 368.00 / £ 289.99,,,,,,,,,"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",,,Fast charging (capped at 10.5W) USB Power Delivery 2.0,,,,,HDR,,,,,,,,Photo / Video,Voice 66dB / Noise 70dB / Ring 78dB,Noise - 93.7 / Crosstalk - 79.7,,,Endurance rating 88h,AnTuTu: 206711 (v7)GeekBench: 6055 (v4.4)GFXBench: 13fps (ES 3.1 onscreen),Contrast ratio: ∞,,$ 254.99,$ 525.00,,
google,Google Pixel XL,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,Water-repellent coating,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 26, 28, 32, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps or LTE-A (3CA) Cat11 600/75 Mbps","2016, October 04","Available. Released 2016, October 20",154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in),168 g (5.93 oz),Nano-SIM,UFS 2.0,"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Corning Gorilla Glass 4,"Android 7.1 (Nougat), upgradable to Android 10",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"32GB 4GB RAM, 128GB 4GB RAM","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps","8 MP, f/2.4, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",Yes,,No,"3.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 3450 mAh, non-removable","Quite Black, Very Silver, Really Blue",$ 99.99 / € 229.00 / £ 159.99,Up to 552 h (3G),Up to 32 h (3G),0.89 W/kg (head)     0.56 W/kg (body),,,,,,"Glass front (Gorilla Glass 4), aluminum/glass back, aluminum frame",,,Fast charging 18W USB Power Delivery,,Yes,Yes,0.25 W/kg (head)     0.44 W/kg (body),,,,,,,,,Photo / Video,,,,,Endurance rating 78h,Basemark OS II 2.0: 2281Basemark X: 30861,"Contrast ratio: Infinite (nominal),  4.164 (sunlight)",,,$ 140.00,Up to 130 h,$ 99.99
